corp_name,stock_code,market,buy_date,buy_price,record_date,sell_date,sell_price,shares,net_pnl,ret_pct,hold_days
코리안리,3690,KOSPI,2024-10-23,7621,2024-11-07,2024-11-05,8080,2624,1160072.63,5.800217095,13
지누스,13890,KOSPI,2024-11-04,23705,2024-11-20,2024-11-18,21700,843,-1728884.042,-8.650340289,14
레드캡투어,38390,KOSDAQ,2024-11-08,8575,2024-11-25,2024-11-21,8860,2332,621330.501,3.106668111,13
고려제강,2240,KOSPI,2024-11-08,18134,2025-01-01,2024-12-30,17850,1102,-354323.4152,-1.772799041,52
캔버스엔,210120,KOSDAQ,2024-11-11,4182,2025-02-03,2025-01-24,3434,4782,-3611957.455,-18.05859202,74
DS단석,17860,KOSPI,2024-11-11,55050,2024-11-26,2024-11-22,42534,363,-4576413.164,-22.89792553,11
시노펙스,25320,KOSDAQ,2024-11-12,6333,2024-12-30,2024-12-26,6351,3158,14733.9648,0.073660197,44
노브랜드,145170,KOSDAQ,2024-12-04,9596,2024-12-19,2024-12-17,8869,2084,-1554109.552,-7.770134501,13
글로벌텍스프리,204620,KOSDAQ,2024-12-09,3047,2025-01-02,2024-12-30,3405,6563,2302977.702,11.51462332,21
제테마,216080,KOSDAQ,2024-12-10,8395,2025-01-06,2025-01-02,7630,2382,-1860670.121,-9.303401988,23
동원산업,6040,KOSPI,2024-12-12,34417,2025-01-02,2024-12-30,36950,581,1426811.056,7.134313384,18
교촌에프앤비,339770,KOSPI,2024-12-13,5549,2025-01-01,2024-12-30,5460,3604,-362127.5774,-1.810493429,17
JW신약,67290,KOSDAQ,2024-12-16,1569,2025-01-01,2024-12-30,1437,12746,-1721187.975,-8.605305762,14
종근당,185750,KOSPI,2024-12-16,86452,2025-01-01,2024-12-30,89000,231,545502.3882,2.731143329,14
HLB테라퓨틱스,115450,KOSDAQ,2024-12-19,9684,2025-01-15,2025-01-13,12462,2065,5683389.022,28.41629208,25
제닉스로보틱스,381620,KOSDAQ,2025-01-07,9803,2025-01-31,2025-01-24,9370,2040,-923593.578,-4.617709363,17
SNT모티브,64960,KOSPI,2025-01-14,24683,2025-01-31,2025-01-24,25500,810,618493.7655,3.093052025,10
유아이엘,49520,KOSDAQ,2025-02-07,3967,2025-02-24,2025-02-20,4380,5041,2035878.172,10.17906175,13
비엘팜텍,65170,KOSDAQ,2025-02-12,637,2025-02-27,2025-02-25,1111,31397,14811157.99,74.04509418,13
제이에스코퍼레이션,194370,KOSPI,2025-03-19,8925,2025-04-04,2025-04-02,8750,2240,-433218.8,-2.166635789,14
더즌,462860,KOSDAQ,2025-04-07,2709,2025-04-22,2025-04-18,2850,7382,996836.8593,4.983975549,11
아이퀘스트,262840,KOSDAQ,2025-04-14,2127,2025-04-29,2025-04-25,2310,9402,1675214.983,8.375633641,11
블루엠텍,439580,KOSDAQ,2025-04-15,3752,2025-05-09,2025-05-07,5769,5330,10687650.17,53.43515237,22
에코아이,448280,KOSDAQ,2025-04-23,9966,2025-05-09,2025-05-07,10299,2006,624712.6323,3.124376316,14
닷밀,464580,KOSDAQ,2025-04-30,3000,2025-06-13,2025-06-11,3500,6666,3284504.85,16.42170341,42
바이오솔루션,86820,KOSDAQ,2025-05-13,9528,2025-05-28,2025-05-26,11649,2099,4401299.17,22.00399631,13
탑런토탈솔루션,336680,KOSDAQ,2025-05-15,5100,2025-05-30,2025-05-28,5480,3921,1445080.629,7.225367175,13
셀트리온,68270,KOSPI,2025-05-26,147371,2025-06-10,2025-06-05,157100,135,1269074.162,6.377875891,10
플리토,300080,KOSDAQ,2025-06-10,9439,2025-06-25,2025-06-23,10339,2118,1860500.126,9.30491955,13
SCL사이언스,246960,KOSDAQ,2025-06-16,2550,2025-07-01,2025-06-27,3110,7843,4341516.179,21.70470508,11
네오오토,212560,KOSDAQ,2025-06-30,5565,2025-07-15,2025-07-11,6420,3593,3024034.976,15.12165358,11
현대바이오,48410,KOSDAQ,2025-07-10,5410,2025-07-25,2025-07-23,7090,3696,6155181.648,30.77843314,13
헥토파이낸셜,234340,KOSDAQ,2025-07-10,19013,2025-07-25,2025-07-23,18980,1051,-76578.96045,-0.383169527,13
산돌,419120,KOSDAQ,2025-07-18,5573,2025-08-06,2025-08-04,7870,3588,8183573.369,40.9200696,17
동국생명과학,303810,KOSDAQ,2025-07-24,4830,2025-08-08,2025-08-06,4890,4140,205923.6,1.029659216,13
그린리소스,402490,KOSDAQ,2025-08-04,8284,2025-08-20,2025-08-18,8409,2414,259166.6779,1.295796094,14
엔에프씨,265740,KOSDAQ,2025-08-04,5280,2025-08-20,2025-08-18,5700,3787,1545448.191,7.72787491,14
와이제이링크,209640,KOSDAQ,2025-08-21,3775,2025-09-05,2025-09-03,3830,5298,248821.8945,1.243925994,13
링네트,42500,KOSDAQ,2025-08-25,3940,2025-09-19,2025-09-17,4119,5076,864833.3982,4.323639525,23
스튜디오삼익,415380,KOSDAQ,2025-08-25,3872,2025-09-09,2025-09-05,4185,5165,1571494.894,7.856736004,11
온코닉테라퓨틱스,476060,KOSDAQ,2025-09-17,11175,2025-10-13,2025-10-02,16300,1789,9108762.824,45.55503475,15
지투지바이오,456160,KOSDAQ,2025-10-22,56864,2025-11-06,2025-11-04,61700,351,1652211.545,8.276676689,13
피앤에스로보틱스,460940,KOSDAQ,2025-10-24,8795,2025-11-10,2025-11-06,10250,2274,3260218.451,16.298786,13
디앤디파마텍,347850,KOSDAQ,2025-10-29,49699,2025-11-14,2025-11-12,74699,402,9988446.604,49.9872344,14
드림시큐리티,203650,KOSDAQ,2025-11-03,1674,2025-11-19,2025-11-17,1747,11947,828431.8607,4.141687588,14
제너셈,217190,KOSDAQ,2025-11-10,6076,2025-11-25,2025-11-21,5910,3291,-587232.5469,-2.936292604,11
에이치시티,72990,KOSDAQ,2025-11-11,6384,2025-11-27,2025-11-25,6246,3132,-473362.0236,-2.367083847,14
시노펙스,25320,KOSDAQ,2025-11-12,5799,2026-01-01,2025-12-30,6070,3448,890596.5052,4.453438727,48
카티스,140430,KOSDAQ,2025-11-12,1323,2025-11-28,2025-11-26,1285,15117,-615325.3914,-3.076197678,14
비츠로셀,82920,KOSDAQ,2025-11-26,14786,2025-12-11,2025-12-09,19429,1352,6223114.784,31.12542418,13
이지케어텍,99750,KOSDAQ,2025-12-04,9888,2025-12-18,2025-12-16,11460,2022,3130399.336,15.65470883,12
폰드그룹,472850,KOSDAQ,2025-12-09,5795,2026-01-05,2025-12-30,5659,3451,-510417.7393,-2.551891591,21
JW신약,67290,KOSDAQ,2025-12-16,1802,2026-01-02,2025-12-30,2130,11098,3591048.668,17.95381081,14
저스템,417840,KOSDAQ,2025-12-18,4468,2026-01-02,2025-12-30,5810,4476,5953081.343,29.76277596,12
대한제강,84010,KOSPI,2025-12-22,13136,2026-01-06,2026-01-02,13070,1522,-142241.4018,-0.711349601,11
뷰티스킨,406820,KOSDAQ,2025-12-23,4830,2026-01-08,2026-01-06,4054,4140,-3248367.372,-16.24248702,14
유일에너테크,340930,KOSDAQ,2025-12-24,1310,2026-01-08,2026-01-06,1616,15267,4620592.664,23.09976404,13
아진엑스텍,59120,KOSDAQ,2026-01-14,7204,2026-01-29,2026-01-27,8490,2776,3520978.186,17.60374339,13
엠아이큐브솔루션,373170,KOSDAQ,2026-01-26,3442,2026-02-10,2026-02-06,4480,5810,5977024.137,29.88359707,11
삼양엔씨켐,482630,KOSDAQ,2026-02-04,17600,2026-02-23,2026-02-19,20350,1136,3075921.64,15.38222392,15
씨케이솔루션,480370,KOSPI,2026-02-12,4009,2026-03-03,2026-02-27,3310,4988,-3521806.58,-17.6091284,15
에어레인,163280,KOSDAQ,2026-02-23,6610,2026-03-10,2026-03-06,7120,3025,1497751.612,7.489413653,11
HLB테라퓨틱스,115450,KOSDAQ,2026-02-26,2591,2026-03-13,2026-03-11,2925,7719,2531118.764,12.65374069,13
TJ미디어,32540,KOSDAQ,2026-03-04,6310,2026-03-23,2026-03-18,6090,3169,-737812.918,-3.68917721,14
씨어스테크놀로지,458870,KOSDAQ,2026-03-10,143900,2026-03-25,2026-03-18,185100,138,5632810.86,28.36090917,8
